date,num_clients,num_clients_lag_7,federal_holiday,big_holiday_before,big_holiday,big_holiday_after,num_sessions,total_traffic,community_event_count,community_event,community_gingerbread_express,community_holiday_market,wu_temp_high,wu_temp_avg,wu_temp_low,wu_humid_high,wu_humid_avg,wu_humid_low,wu_wind_high,wu_wind_avg,wu_precip,wu_event_fog,wu_event_rain,wu_event_snow,wu_event_hail,wu_event_thunderstorm,wu_event_sum,bb_cumulative_wins,bb_game,day_of_week_fri,day_of_week_mon,day_of_week_sat,day_of_week_sun,day_of_week_thu,day_of_week_tue,day_of_week_wed,quarter_q1,quarter_q2,quarter_q3,quarter_q4,bb_game_type_conference_tourney,bb_game_type_ncaa_tourney,bb_game_type_pre_season,bb_game_type_regular_season,bb_location_away,bb_location_home,bb_location_neutral,bb_ranked_opponent_False,bb_ranked_opponent_True,bb_game_result_loss,bb_game_result_win,bb_close_game_False,bb_close_game_True,wu_temp_high_sq,wu_temp_avg_sq,wu_temp_low_sq,wu_humid_high_sq,wu_humid_avg_sq,wu_humid_low_sq,wu_wind_high_sq,wu_wind_avg_sq,wu_precip_sq,num_sessions_lag_7,total_traffic_lag_7
2017-01-15,74.0,40.0,False,False,False,False,,406236.160019,1,True,0,0,44,41,37,100,88,76,10,2,0.02,0,0,0,0,0,0,0,False,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1936,1681,1369,10000,7744,5776,100,4,0.0004,,139204.266666
2017-01-16,95.0,74.0,True,False,False,False,,929299.342104,0,False,0,0,45,42,38,96,90,83,10,4,0.04,0,1,0,0,0,1,0,False,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,1764,1444,9216,8100,6889,100,16,0.0016,,875821.5110858901
2017-01-17,83.0,67.0,False,False,False,False,,997058.56006,0,False,0,0,56,49,41,96,91,86,15,6,0.08,0,1,0,0,0,1,0,False,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3136,2401,1681,9216,8281,7396,225,36,0.0064,,2355954.3464448997
2017-01-18,108.0,88.0,False,False,False,False,,803962.3111228001,0,False,0,0,62,52,42,100,68,36,16,6,0.0,1,0,0,0,0,1,14,True,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,3844,2704,1764,10000,4624,1296,256,36,0.0,,1210539.80447878
2017-01-19,104.0,105.0,False,False,False,False,,529200.3555119999,0,False,0,0,56,44,32,92,72,51,9,2,0.0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3136,1936,1024,8464,5184,2601,81,4,0.0,,1488215.6088900003
2017-01-20,109.0,150.0,False,False,False,False,,2130276.124462,1,True,0,0,52,47,41,93,88,82,9,4,0.08,0,1,0,0,0,1,0,False,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2704,2209,1681,8649,7744,6724,81,16,0.0064,,1429275.8756244
2017-01-21,122.0,94.0,False,False,False,False,,912659.3421620001,2,True,0,0,52,50,48,100,95,89,7,3,0.02,0,0,0,0,0,0,15,True,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,2704,2500,2304,10000,9025,7921,49,9,0.0004,,732697.6000267002
2017-01-22,69.0,74.0,False,False,False,False,,1185149.155551,1,True,0,0,54,52,49,100,95,89,12,6,0.17,0,0,0,0,0,0,0,False,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2916,2704,2401,10000,9025,7921,144,36,0.028900000000000006,,406236.160019
2017-01-23,55.0,95.0,False,False,False,False,,282410.6667086,1,True,0,0,51,45,38,93,82,70,32,15,1.21,0,1,0,0,0,1,0,False,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2601,2025,1444,8649,6724,4900,1024,225,1.4641,,929299.342104
2017-01-24,96.0,83.0,False,False,False,False,,527716.6933609999,1,True,0,0,57,48,39,85,66,47,17,8,0.0,0,0,0,0,0,0,16,True,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,3249,2304,1521,7225,4356,2209,289,64,0.0,,997058.56006
2017-01-25,135.0,108.0,False,False,False,False,,1946257.0671266997,1,True,0,0,70,55,40,67,44,20,14,6,0.0,0,0,0,0,0,0,0,False,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4900,3025,1600,4489,1936,400,196,36,0.0,,803962.3111228001
2017-01-26,119.0,104.0,False,False,False,False,,985710.933402,3,True,0,0,63,52,40,57,44,30,22,9,0.0,0,1,0,0,0,1,0,False,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3969,2704,1600,3249,1936,900,484,81,0.0,,529200.3555119999
2017-01-27,97.0,109.0,False,False,False,False,,839787.52003,1,True,0,0,46,41,35,51,42,33,13,6,0.0,0,0,0,0,0,0,0,False,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2116,1681,1225,2601,1764,1089,169,36,0.0,,2130276.124462
2017-01-28,88.0,122.0,False,False,False,False,,1000371.768814,2,True,0,0,50,41,32,54,42,29,14,6,0.0,0,0,0,0,0,0,0,False,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,1681,1024,2916,1764,841,196,36,0.0,,912659.3421620001
2017-01-29,61.0,69.0,False,False,False,False,,1294394.595609,1,True,0,0,47,39,31,89,63,37,12,4,0.03,0,0,0,0,0,0,16,True,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,2209,1521,961,7921,3969,1369,144,16,0.0009,,1185149.155551
2017-01-30,61.0,55.0,False,False,False,False,,260287.14667199997,0,False,0,0,39,33,26,78,53,27,18,5,0.0,0,0,1,0,0,1,0,False,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1521,1089,676,6084,2809,729,324,25,0.0,,282410.6667086
2017-01-31,138.0,96.0,False,False,False,False,,2475732.764074,0,False,0,0,63,44,25,69,44,19,21,5,0.0,0,0,0,0,0,0,0,False,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3969,1936,625,4761,1936,361,441,25,0.0,,527716.6933609999
2017-02-01,85.0,135.0,False,False,False,False,,774599.6800433,0,False,0,0,59,53,46,50,36,21,14,4,0.0,0,0,0,0,0,0,17,True,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,3481,2809,2116,2500,1296,441,196,16,0.0,,1946257.0671266997
2017-02-02,92.0,119.0,False,False,False,False,446.0,1031739.733333,1,True,0,0,55,47,38,57,38,19,13,6,0.0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3025,2209,1444,3249,1444,361,169,36,0.0,,985710.933402
2017-02-03,104.0,97.0,False,False,False,False,501.0,738263.03999996,0,False,0,0,40,35,29,52,40,27,13,6,0.0,0,0,0,0,0,0,0,False,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,1225,841,2704,1600,729,169,36,0.0,,839787.52003
2017-02-04,87.0,88.0,False,False,False,False,635.0,1043649.42215,1,True,0,0,44,32,20,52,35,18,15,5,0.0,0,0,0,0,0,0,17,True,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1936,1024,400,2704,1225,324,225,25,0.0,,1000371.768814
2017-02-05,58.0,61.0,False,False,False,False,383.0,1237539.83996,0,False,0,0,56,43,30,49,41,32,15,8,0.0,0,0,0,0,0,0,0,False,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3136,1849,900,2401,1681,1024,225,64,0.0,,1294394.595609
2017-02-06,98.0,61.0,False,False,False,False,664.0,1006347.9467270001,0,False,0,0,68,50,32,70,48,26,15,6,0.0,0,0,0,0,0,0,18,True,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,4624,2500,1024,4900,2304,676,225,36,0.0,,260287.14667199997
2017-02-07,99.0,138.0,False,False,False,False,606.0,1733525.6177088998,0,False,0,0,75,64,52,63,53,43,26,13,0.0,0,0,0,0,0,0,0,False,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5625,4096,2704,3969,2809,1849,676,169,0.0,,2475732.764074
2017-02-08,154.0,85.0,False,False,False,False,1033.0,2470661.68869,0,False,0,0,73,64,54,72,51,29,15,7,0.01,0,1,0,0,0,1,0,False,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5329,4096,2916,5184,2601,841,225,49,0.0001,,774599.6800433
2017-02-09,78.0,92.0,False,False,False,False,400.0,727882.5243699999,1,True,0,0,54,40,25,89,58,27,23,11,0.2,0,1,0,0,0,1,0,False,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2916,1600,625,7921,3364,729,529,121,0.040000000000000015,446.0,1031739.733333
2017-02-10,115.0,104.0,False,False,False,False,654.0,815620.551156,3,True,0,0,36,29,21,50,38,26,15,6,0.0,0,0,0,0,0,0,0,False,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1296,841,441,2500,1444,676,225,36,0.0,501.0,738263.03999996
2017-02-11,119.0,87.0,False,False,False,False,871.0,2136633.4581,2,True,0,0,71,52,33,61,48,35,13,6,0.0,0,0,0,0,0,0,0,False,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5041,2704,1089,3721,2304,1225,169,36,0.0,635.0,1043649.42215
2017-02-12,132.0,58.0,False,False,False,False,1033.0,1618735.2177167,0,False,0,0,82,66,50,77,56,35,23,8,0.0,0,1,0,0,0,1,18,True,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,6724,4356,2500,5929,3136,1225,529,64,0.0,383.0,1237539.83996
2017-02-13,98.0,98.0,False,False,False,False,590.0,1248198.5421570002,0,False,0,0,55,47,38,38,27,16,24,8,0.0,0,0,0,0,0,0,0,False,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3025,2209,1444,1444,729,256,576,64,0.0,664.0,1006347.9467270001
2017-02-14,89.0,99.0,False,False,False,False,646.0,1021700.551151,0,False,0,0,50,43,35,56,43,29,16,6,0.0,0,0,0,0,0,0,0,False,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,1849,1225,3136,1849,841,256,36,0.0,606.0,1733525.6177088998
2017-02-15,92.0,154.0,False,False,False,False,574.0,949085.297805,0,False,0,0,56,47,38,70,47,23,18,8,0.0,0,0,0,0,0,0,18,True,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,3136,2209,1444,4900,2209,529,324,64,0.0,1033.0,2470661.68869
2017-02-16,81.0,78.0,False,False,False,False,427.0,1941364.053557,1,True,0,0,45,38,31,47,36,25,17,7,0.0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,1444,961,2209,1296,625,289,49,0.0,400.0,727882.5243699999
2017-02-17,140.0,115.0,False,False,False,False,1140.0,2621641.95586644,1,True,0,0,65,47,29,63,43,22,14,4,0.0,0,0,0,0,0,0,0,False,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4225,2209,841,3969,1849,484,196,16,0.0,654.0,815620.551156
2017-02-18,162.0,119.0,False,False,False,False,1073.0,1746726.1155470002,1,True,0,0,73,53,32,70,45,19,13,4,0.0,0,0,0,0,0,0,18,True,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,5329,2809,1024,4900,2025,361,169,16,0.0,871.0,2136633.4581
2017-02-19,147.0,132.0,False,False,False,False,1095.0,1542155.3777790002,1,True,0,0,74,63,52,61,45,28,13,6,0.0,0,0,0,0,0,0,0,False,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5476,3969,2704,3721,2025,784,169,36,0.0,1033.0,1618735.2177167
2017-02-20,138.0,98.0,True,False,False,False,926.0,2056516.2666176998,0,False,0,0,74,61,48,59,40,20,13,4,0.0,0,0,0,0,0,0,18,True,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,5476,3721,2304,3481,1600,400,169,16,0.0,590.0,1248198.5421570002
2017-02-21,112.0,89.0,False,False,False,False,748.0,2037716.1956000042,1,True,0,0,62,52,41,70,55,39,14,5,0.0,0,0,0,0,0,0,0,False,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3844,2704,1681,4900,3025,1521,196,25,0.0,646.0,1021700.551151
2017-02-22,94.0,92.0,False,False,False,False,590.0,1363107.2711321998,1,True,0,0,64,56,47,93,76,59,13,7,0.03,0,1,0,0,0,1,0,False,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,3136,2209,8649,5776,3481,169,49,0.0009,574.0,949085.297805
2017-02-23,155.0,81.0,False,False,False,False,1251.0,2731979.66214033,1,True,0,0,78,65,52,100,70,40,17,8,0.0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6084,4225,2704,10000,4900,1600,289,64,0.0,427.0,1941364.053557
2017-02-24,191.0,140.0,False,False,False,False,1378.0,2252290.8444156004,0,False,0,0,78,65,52,89,64,39,21,9,0.0,0,0,0,0,0,0,0,False,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6084,4225,2704,7921,4096,1521,441,81,0.0,1140.0,2621641.95586644
2017-02-25,116.0,162.0,False,False,False,False,899.0,2002462.7199799998,1,True,0,0,75,59,42,84,56,28,26,12,0.21,0,0,0,0,0,0,19,True,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,5625,3481,1764,7056,3136,784,676,144,0.044099999999999986,1073.0,1746726.1155470002
2017-02-26,75.0,147.0,False,False,False,False,505.0,1070749.0133604,2,True,0,0,54,44,33,51,34,17,14,5,0.0,0,0,0,0,0,0,0,False,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2916,1936,1089,2601,1156,289,196,25,0.0,1095.0,1542155.3777790002
2017-02-27,87.0,138.0,False,False,False,False,522.0,849169.06671,0,False,0,0,58,43,28,69,47,24,16,3,0.0,0,0,0,0,0,0,20,True,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,3364,1849,784,4761,2209,576,256,9,0.0,926.0,2056516.2666176998
2017-02-28,93.0,112.0,False,False,False,False,842.0,1240234.6665956,0,False,0,0,70,55,39,93,64,34,15,4,0.19,0,1,0,0,0,1,0,False,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4900,3025,1521,8649,4096,1156,225,16,0.0361,748.0,2037716.1956000042
2017-03-01,106.0,94.0,False,False,False,False,745.0,1579758.9333222,0,False,0,0,77,65,53,93,76,58,25,13,0.21,0,0,0,0,0,0,0,False,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5929,4225,2809,8649,5776,3364,625,169,0.044099999999999986,590.0,1363107.2711321998
2017-03-02,110.0,155.0,False,False,False,False,773.0,1493997.79555,1,True,0,0,63,51,38,39,32,24,18,8,0.0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3969,2601,1444,1521,1024,576,324,64,0.0,1251.0,2731979.66214033
2017-03-03,96.0,191.0,False,False,False,False,574.0,1874796.657798,0,False,0,0,45,39,33,64,44,24,18,7,0.0,0,0,0,0,0,0,0,False,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,1521,1089,4096,1936,576,324,49,0.0,1378.0,2252290.8444156004
2017-03-04,97.0,116.0,False,False,False,False,795.0,4198574.6492,0,False,0,0,49,37,25,50,33,15,14,4,0.0,0,0,0,0,0,0,21,True,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,2401,1369,625,2500,1089,225,196,16,0.0,899.0,2002462.7199799998
2017-03-05,53.0,75.0,False,False,False,False,339.0,2214664.5334440004,1,True,0,0,46,36,25,50,39,27,9,4,0.0,0,0,0,0,0,0,0,False,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2116,1296,625,2500,1521,729,81,16,0.0,505.0,1070749.0133604
2017-03-06,82.0,87.0,False,False,False,False,494.0,1266810.31108,0,False,0,0,55,43,30,63,49,35,8,3,0.0,0,0,0,0,0,0,0,False,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3025,1849,900,3969,2401,1225,64,9,0.0,522.0,849169.06671
2017-03-07,97.0,93.0,False,False,False,False,516.0,1857944.4622711109,0,False,0,0,68,56,44,93,73,52,25,11,0.08,0,1,0,0,0,1,0,False,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4624,3136,1936,8649,5329,2704,625,121,0.0064,842.0,1240234.6665956
2017-03-08,127.0,106.0,False,False,False,False,955.0,1826726.68453,0,False,0,0,68,60,51,80,47,14,21,9,0.0,0,1,0,0,0,1,22,True,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,4624,3600,2601,6400,2209,196,441,81,0.0,745.0,1579758.9333222
2017-03-09,128.0,110.0,False,False,False,False,1006.0,3808748.6576333,1,True,0,0,73,61,48,31,23,14,16,6,0.0,0,0,0,0,0,0,22,True,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,5329,3721,2304,961,529,196,256,36,0.0,773.0,1493997.79555
2017-03-10,101.0,96.0,False,False,False,False,838.0,1614213.6890679996,0,False,0,0,56,46,36,49,38,26,23,9,0.01,0,1,0,0,0,1,0,False,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3136,2116,1296,2401,1444,676,529,81,0.0001,574.0,1874796.657798
2017-03-11,114.0,97.0,False,False,False,False,612.0,712401.351138,0,False,0,0,47,38,28,39,27,14,15,6,0.0,0,0,0,0,0,0,0,False,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2209,1444,784,1521,729,196,225,36,0.0,795.0,4198574.6492
2017-03-12,62.0,53.0,False,False,False,False,417.0,888515.6977304001,1,True,0,0,48,37,26,50,34,18,14,6,0.0,0,0,0,0,0,0,0,False,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304,1369,676,2500,1156,324,196,36,0.0,339.0,2214664.5334440004
2017-03-13,66.0,82.0,False,False,False,False,558.0,521650.0622529,1,True,0,0,48,36,25,93,65,29,17,7,0.17,0,0,0,0,0,0,0,False,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304,1296,625,8649,4225,841,289,49,0.028900000000000006,494.0,1266810.31108
2017-03-14,63.0,97.0,False,False,False,False,380.0,1137202.062215,0,False,0,0,46,36,25,100,67,34,23,9,0.34,0,0,0,0,0,0,0,False,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2116,1296,625,10000,4489,1156,529,81,0.11560000000000002,516.0,1857944.4622711109
2017-03-15,75.0,127.0,False,False,False,False,368.0,3697419.3776444,1,True,0,0,37,29,21,42,32,21,21,11,0.0,0,0,0,0,0,0,0,False,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1369,841,441,1764,1024,441,441,121,0.0,955.0,1826726.68453
2017-03-16,107.0,128.0,False,False,False,False,703.0,8058509.6525,0,False,0,0,45,35,24,50,36,22,17,6,0.0,0,0,0,0,0,0,23,True,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,2025,1225,576,2500,1296,484,289,36,0.0,1006.0,3808748.6576333
2017-03-17,113.0,101.0,False,False,False,False,791.0,1324629.333387,1,True,0,0,53,41,28,85,52,18,16,4,0.02,0,1,0,0,0,1,0,False,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2809,1681,784,7225,2704,324,256,16,0.0004,838.0,1614213.6890679996
2017-03-18,130.0,114.0,False,False,False,False,855.0,4457747.342642,1,True,0,0,67,52,37,92,65,37,18,5,0.24,0,0,0,0,0,0,23,True,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,4489,2704,1369,8464,4225,1369,324,25,0.0576,612.0,712401.351138
2017-03-19,81.0,62.0,False,False,False,False,649.0,1637343.57346,1,True,0,0,55,49,42,65,52,38,17,7,0.0,0,0,0,0,0,0,0,False,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3025,2401,1764,4225,2704,1444,289,49,0.0,417.0,888515.6977304001
2017-03-20,100.0,66.0,False,False,False,False,769.0,2574671.6447400004,0,False,0,0,58,45,32,82,58,33,9,3,0.0,0,0,0,0,0,0,0,False,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3364,2025,1024,6724,3364,1089,81,9,0.0,558.0,521650.0622529
