Time,# Sessions
2017/03/03 05:00:00.000000 +00:00,574
2017/03/04 05:00:00.000000 +00:00,795
2017/03/05 05:00:00.000000 +00:00,339
2017/03/06 05:00:00.000000 +00:00,494
2017/03/07 05:00:00.000000 +00:00,516
2017/03/08 05:00:00.000000 +00:00,955
2017/03/09 05:00:00.000000 +00:00,1006
2017/03/10 05:00:00.000000 +00:00,838
2017/03/11 05:00:00.000000 +00:00,612
2017/03/12 05:00:00.000000 +00:00,417
2017/03/13 05:00:00.000000 +00:00,558
2017/03/14 05:00:00.000000 +00:00,380
2017/03/15 05:00:00.000000 +00:00,368
2017/03/16 05:00:00.000000 +00:00,703
2017/03/17 05:00:00.000000 +00:00,791
2017/03/18 05:00:00.000000 +00:00,855
2017/03/19 05:00:00.000000 +00:00,649
2017/03/20 05:00:00.000000 +00:00,769
2017/03/21 05:00:00.000000 +00:00,924
2017/03/22 05:00:00.000000 +00:00,619
2017/03/23 05:00:00.000000 +00:00,641
2017/03/24 05:00:00.000000 +00:00,1050
2017/03/25 05:00:00.000000 +00:00,2002
2017/03/26 05:00:00.000000 +00:00,713
2017/03/27 05:00:00.000000 +00:00,892
2017/03/28 05:00:00.000000 +00:00,743
2017/03/29 05:00:00.000000 +00:00,1316
2017/03/30 05:00:00.000000 +00:00,624
2017/03/31 05:00:00.000000 +00:00,901
2017/04/01 05:00:00.000000 +00:00,1413
2017/04/02 05:00:00.000000 +00:00,994
2017/04/03 05:00:00.000000 +00:00,611
2017/04/04 05:00:00.000000 +00:00,1466
2017/04/05 05:00:00.000000 +00:00,1540
2017/04/06 05:00:00.000000 +00:00,692
2017/04/07 05:00:00.000000 +00:00,783
2017/04/08 05:00:00.000000 +00:00,1408
2017/04/09 05:00:00.000000 +00:00,1328
2017/04/10 05:00:00.000000 +00:00,1710
2017/04/11 05:00:00.000000 +00:00,1472
2017/04/12 05:00:00.000000 +00:00,1692
2017/04/13 05:00:00.000000 +00:00,2782
2017/04/14 05:00:00.000000 +00:00,3503
2017/04/15 05:00:00.000000 +00:00,2761
2017/04/16 05:00:00.000000 +00:00,1444
2017/04/17 05:00:00.000000 +00:00,1149
2017/04/18 05:00:00.000000 +00:00,1311
2017/04/19 05:00:00.000000 +00:00,901
2017/04/20 05:00:00.000000 +00:00,2244
2017/04/21 05:00:00.000000 +00:00,2459
2017/04/22 05:00:00.000000 +00:00,872
2017/04/23 05:00:00.000000 +00:00,891
2017/04/24 05:00:00.000000 +00:00,317
2017/04/25 05:00:00.000000 +00:00,773
2017/04/26 05:00:00.000000 +00:00,1986
2017/04/27 05:00:00.000000 +00:00,1819
2017/04/28 05:00:00.000000 +00:00,2868
2017/04/29 05:00:00.000000 +00:00,1587
2017/04/30 05:00:00.000000 +00:00,1241
2017/05/01 05:00:00.000000 +00:00,765
2017/05/02 05:00:00.000000 +00:00,1362
2017/05/03 05:00:00.000000 +00:00,1610
2017/05/04 05:00:00.000000 +00:00,1236
2017/05/05 05:00:00.000000 +00:00,2013
2017/05/06 05:00:00.000000 +00:00,846
2017/05/07 05:00:00.000000 +00:00,1052
2017/05/08 05:00:00.000000 +00:00,568
2017/05/09 05:00:00.000000 +00:00,1149
2017/05/10 05:00:00.000000 +00:00,1384
2017/05/11 05:00:00.000000 +00:00,643
2017/05/12 05:00:00.000000 +00:00,661
2017/05/13 05:00:00.000000 +00:00,1264
2017/05/14 05:00:00.000000 +00:00,1394
2017/05/15 05:00:00.000000 +00:00,1379
2017/05/16 05:00:00.000000 +00:00,1701
2017/05/17 05:00:00.000000 +00:00,1240
2017/05/18 05:00:00.000000 +00:00,1337
2017/05/19 05:00:00.000000 +00:00,2194
2017/05/20 05:00:00.000000 +00:00,1316
2017/05/21 05:00:00.000000 +00:00,987
2017/05/22 05:00:00.000000 +00:00,1048
2017/05/23 05:00:00.000000 +00:00,939
2017/05/24 05:00:00.000000 +00:00,935
2017/05/25 05:00:00.000000 +00:00,933
2017/05/26 05:00:00.000000 +00:00,2855
2017/05/27 05:00:00.000000 +00:00,1471
2017/05/28 05:00:00.000000 +00:00,1080
2017/05/29 05:00:00.000000 +00:00,1222
2017/05/30 05:00:00.000000 +00:00,785
2017/05/31 05:00:00.000000 +00:00,1266
2017/06/01 05:00:00.000000 +00:00,1579
2017/06/02 05:00:00.000000 +00:00,2606
2017/06/03 05:00:00.000000 +00:00,2045
2017/06/04 05:00:00.000000 +00:00,1377
2017/06/05 05:00:00.000000 +00:00,780
2017/06/06 05:00:00.000000 +00:00,1368
2017/06/07 05:00:00.000000 +00:00,1584
2017/06/08 05:00:00.000000 +00:00,1258
2017/06/09 05:00:00.000000 +00:00,1984
2017/06/10 05:00:00.000000 +00:00,1099
2017/06/11 05:00:00.000000 +00:00,254
2017/06/12 05:00:00.000000 +00:00,507
2017/06/13 05:00:00.000000 +00:00,454
2017/06/14 05:00:00.000000 +00:00,1212
2017/06/15 05:00:00.000000 +00:00,1303
2017/06/16 05:00:00.000000 +00:00,1391
2017/06/17 05:00:00.000000 +00:00,1544
2017/06/18 05:00:00.000000 +00:00,967
2017/06/19 05:00:00.000000 +00:00,944
2017/06/20 05:00:00.000000 +00:00,1763
2017/06/21 05:00:00.000000 +00:00,1571
2017/06/22 05:00:00.000000 +00:00,1204
2017/06/23 05:00:00.000000 +00:00,1719
2017/06/24 05:00:00.000000 +00:00,2098
2017/06/25 05:00:00.000000 +00:00,1186
2017/06/26 05:00:00.000000 +00:00,865
2017/06/27 05:00:00.000000 +00:00,1223
2017/06/28 05:00:00.000000 +00:00,1259
2017/06/29 05:00:00.000000 +00:00,1447
