Time,# Clients
2017/11/02 04:00:00.000000 +00:00,60
2017/11/03 04:00:00.000000 +00:00,119
2017/11/04 04:00:00.000000 +00:00,37
2017/11/05 04:00:00.000000 +00:00,28
2017/11/06 04:00:00.000000 +00:00,46
2017/11/07 04:00:00.000000 +00:00,26
2017/11/08 04:00:00.000000 +00:00,21
2017/11/09 04:00:00.000000 +00:00,29
2017/11/10 04:00:00.000000 +00:00,26
2017/11/11 04:00:00.000000 +00:00,32
2017/11/12 04:00:00.000000 +00:00,16
2017/11/13 04:00:00.000000 +00:00,19
2017/11/14 04:00:00.000000 +00:00,29
2017/11/15 04:00:00.000000 +00:00,25
2017/11/16 04:00:00.000000 +00:00,55
2017/11/17 04:00:00.000000 +00:00,42
2017/11/18 04:00:00.000000 +00:00,57
2017/11/19 04:00:00.000000 +00:00,39
2017/11/20 04:00:00.000000 +00:00,37
2017/11/21 04:00:00.000000 +00:00,41
2017/11/22 04:00:00.000000 +00:00,25
2017/11/23 04:00:00.000000 +00:00,5
2017/11/24 04:00:00.000000 +00:00,30
2017/11/25 04:00:00.000000 +00:00,48
2017/11/26 04:00:00.000000 +00:00,26
2017/11/27 04:00:00.000000 +00:00,50
2017/11/28 04:00:00.000000 +00:00,53
2017/11/29 04:00:00.000000 +00:00,75
2017/11/30 04:00:00.000000 +00:00,81
2017/12/01 04:00:00.000000 +00:00,159
2017/12/02 04:00:00.000000 +00:00,71
2017/12/03 04:00:00.000000 +00:00,64
2017/12/04 04:00:00.000000 +00:00,68
2017/12/05 04:00:00.000000 +00:00,72
2017/12/06 04:00:00.000000 +00:00,66
2017/12/07 04:00:00.000000 +00:00,76
2017/12/08 04:00:00.000000 +00:00,76
2017/12/09 04:00:00.000000 +00:00,60
2017/12/10 04:00:00.000000 +00:00,46
2017/12/11 04:00:00.000000 +00:00,61
2017/12/12 04:00:00.000000 +00:00,53
2017/12/13 04:00:00.000000 +00:00,61
2017/12/14 04:00:00.000000 +00:00,59
2017/12/15 04:00:00.000000 +00:00,57
2017/12/16 04:00:00.000000 +00:00,76
2017/12/17 04:00:00.000000 +00:00,44
2017/12/18 04:00:00.000000 +00:00,59
2017/12/19 04:00:00.000000 +00:00,87
2017/12/20 04:00:00.000000 +00:00,106
